idNumber	idName	accountType	reasonAdvertisement	reasonBilk	reasonSpam
	14line id	user	FALSE	TRUE	FALSE
	1800as	user	FALSE	TRUE	FALSE
	1470220	user	FALSE	TRUE	FALSE
	a0169	user	FALSE	TRUE	FALSE
	a0955	user	FALSE	TRUE	FALSE
	a09274	user	FALSE	TRUE	FALSE
	a09444	user	FALSE	TRUE	FALSE
	a09458	user	FALSE	TRUE	FALSE
	a09521	user	FALSE	TRUE	FALSE
	a09531	user	FALSE	TRUE	FALSE
	a09550	user	FALSE	TRUE	FALSE
	a09552	user	FALSE	TRUE	FALSE
	a09585	user	FALSE	TRUE	FALSE
	a09652	user	FALSE	TRUE	FALSE
	a09779	user	FALSE	TRUE	FALSE
	a09816	user	FALSE	TRUE	FALSE
	a09841	user	FALSE	TRUE	FALSE
	a09842	user	FALSE	TRUE	FALSE
	a09851	user	FALSE	TRUE	FALSE
	a09861	user	FALSE	TRUE	FALSE
	a09871	user	FALSE	TRUE	FALSE
	a09885	user	FALSE	TRUE	FALSE
	a47258	user	FALSE	TRUE	FALSE
	a119293	user	FALSE	TRUE	FALSE
	a199293	user	FALSE	TRUE	FALSE
	above27	user	FALSE	TRUE	FALSE
	aly00000	user	FALSE	TRUE	FALSE
	aoao82	user	FALSE	TRUE	FALSE
	ash586	user	FALSE	TRUE	FALSE
	esse826	user	FALSE	TRUE	FALSE
	f02867	user	FALSE	TRUE	FALSE
	f02876	user	FALSE	TRUE	FALSE
	f02879	user	FALSE	TRUE	FALSE
	f9900618	user	FALSE	TRUE	FALSE
	ff876	user	FALSE	TRUE	FALSE
	fs2017109	user	FALSE	TRUE	FALSE
	h12140	user	FALSE	TRUE	FALSE
	h12410	user	FALSE	TRUE	FALSE
	h124105	user	FALSE	TRUE	FALSE
	hjs07914	user	FALSE	TRUE	FALSE
	hsj171019	user	FALSE	TRUE	FALSE
	jk473	user	FALSE	TRUE	FALSE
	ke8216	user	FALSE	TRUE	FALSE
	kelly199	user	FALSE	TRUE	FALSE
	koy366	user	FALSE	TRUE	FALSE
	loko811	user	FALSE	TRUE	FALSE
	m0957	user	FALSE	TRUE	FALSE
	m2061	user	FALSE	TRUE	FALSE
	m09521	user	FALSE	TRUE	FALSE
	m199292	user	FALSE	TRUE	FALSE
	q09722	user	FALSE	TRUE	FALSE
	q199292	user	FALSE	TRUE	FALSE
	rose359	user	FALSE	TRUE	FALSE
	sandy283	user	FALSE	TRUE	FALSE
	sky3966	user	FALSE	TRUE	FALSE
	stree66	user	FALSE	TRUE	FALSE
	threl	user	FALSE	TRUE	FALSE
	wu525566	user	FALSE	TRUE	FALSE
	xilo520	user	FALSE	TRUE	FALSE
	ya520998	user	FALSE	TRUE	FALSE
	ya967788	user	FALSE	TRUE	FALSE
	yami56	user	FALSE	TRUE	FALSE
	ygc1122	user	FALSE	TRUE	FALSE
	Yyp13	user	TRUE	FALSE	TRUE
	zgzg9108	user	FALSE	TRUE	FALSE
	zhu520168	user	FALSE	TRUE	FALSE
